Kood,Vanem,Tegevusala tekst,SIIA  KUULUB,SIIA KUULUB VEEL,SIIA EI KUULU,ERIALALIIDUD,ON ERINÕUDEID?
1086,108,Homogeenitud toiduainete ja dieettoitude tootmine,,,,,JAH
10861,1086,Homogeenitud toiduainete ja dieettoitude tootmine,"− eritoitude tootmine tavapärasest erinevate toitumisvajadustega inimestele:
− rinnapiimaasendajad (imiku piimasegud), jätkupiimasegud jms toidud 
− imiku- ja väikelapsetoidud
− kehakaalu alandamiseks ettenähtud vähendatud energiasisaldusega toidud 
− raviotstarbelised dieettoidud
− vähendatud/madala naatriumisisaldusega toidud, k.a vähendatud naatriumisisaldusega või naatriumivabad dieetsoolad
− gluteenivabad toidud
− eelkõige sportlastele mõeldud toidud lihasjõu taastamiseks
− diabeetikute toidud",,,,JAH
1089,108,Mujal liigitamata toiduainete tootmine,,,,,JAH
10891,1089,Mujal liigitamata toiduainete tootmine,"− kiirestiriknevate valmistoitude tootmine (nt võileivad, küpsetamata pitsa) 
− suppide ja puljongite tootmine
− ekstraktide ning mahlade tootmine lihast, kalast, vähilaadsetest ja limustest
− fondüüjuustude tootmine
− munatoodete ja munaalbumiini tootmine
− valgukontsentraatide ja tekstureeritud valkainete tootmine
− taimemahlade ja -ekstraktide tootmine
− pektiinide, taimeliimide ja paksendajate tootmine (nt agar-agar)
− linnaseekstrakti tootmine
− pärmide tootmine (aktiivsed ja mitteaktiivsed) 
− alkoholtoodete segude tootmine jookide valmistamiseks (v.a lõhnaainetel põhinevad) 
− tehiskontsentraatide tootmine
− tehismee ja karamelli tootmine 
− piima- ja juustuasendajate tootmine
− lõhna-, maitse- või värvainelisandiga siirupite tootmine
− toidulisandite jm mujal liigitamata toiduainete tootmine","− munapulbri ja munamassi tootmine
− valmis küpsetuspulbri tootmine
− vitamiinilisandiega toiduainete, proteiini jms tootmine","kiirestiriknevate valmistoitude tootmine puu- ja köögiviljadest, vt 10391
külmutatud pitsa tootmine, vt 10851
piiritusjookide, õlle, veini ja alkoholivabade jookide tootmine, vt 11",Eesti Kalaliit,JAH
109,10,Valmis loomasööda tootmine,,,,,EI
1091,109,Valmissööda tootmine loomakasvatusele,,,,,JAH
10911,1091,Valmissööda tootmine loomakasvatusele,"− valmissööda tootmine loomakasvatusele (k.a kontsentreeritud loomatoit ja söödalisandid)
− segamata (puhta) sööda tootmine loomakasvatusele
− tapamajajäätmete töötlemine loomasöödaks 
− lutsernijahu ja -graanulite tootmine",,"kalajahu tootmine loomasöödaks, vt 10201
õlikookide tootmine, vt 10411
tegevused, mille käigus tekivad loomasöödana kasutatavad tooted, nt õlikoogid, vt 10411
teraviljajahvatamise jäägid, vt 10611 jne",,JAH
1092,109,Lemmikloomade valmistoidu tootmine,,,,,JAH
10921,1092,Lemmikloomade valmistoidu tootmine,"− lemmikloomatoidu (nt koera-, kassi-, linnu-, kalatoidu jne) tootmine
− tapamajajäätmete töötlemine loomatoiduks",,"kalajahu tootmine loomasöödaks, vt 10201
õlikookide tootmine, vt 10411
tegevused, mille käigus tekivad loomasöödana kasutatavad tooted, nt õlikoogid, vt 10411
teraviljajahvatamise jäägid, vt 10611 jne",,JAH
11,C,Joogitootmine,"Osa 11 hõlmab alkoholivabade jookide, mineraalvee, kääritatud (õlu, vein) ja destilleeritud alkoholjookide tootmist.",,"puu- ja köögiviljamahla tootmine, vt 10321
piimapõhiste jookide tootmine, vt 10511
kohvi-, tee- ja matetoodete tootmine, vt 10831",Eesti Toiduainetööstuse Liit,EI
110,11,Joogitootmine,,,,,EI
1101,110,"Kange alkoholi destilleerimine, rektifitseerimine ja segamine",,,,,JAH
11011,1101,"Kange alkoholi destilleerimine, rektifitseerimine ja segamine","− destilleeritud alkoholjookide tootmine (nt viski, brändi, džinn, liköörid jms)
− destilleeritud alkoholi sisaldavate segujookide tootmine
− destilleeritud piiritusjookide segamine
− denatureerimata etüülalkoholi tootmine (alkoholisisaldusega alla 80 mahuprotsendi)","− rummi, konjaki, viina ja tequila tootmine","destilleerimata alkoholjookide tootmine, vt 1102, 1103, 1104, 1105, 1106
denatureeritud etüül- jm alkoholi tootmine, vt 20141
etüülalkoholi tootmine kääritatud materjalist, vt 20141
ainult villimine ja etikettimine (jookide hulgimüük), vt 46341
villimine või etikettimine tasu eest või lepingu alusel, vt 82921",,JAH
1102,110,Viinamarjaveini tootmine,,,,,JAH
11021,1102,Viinamarjaveini tootmine,"− veinitootmine
− vahuveini tootmine
− veinitootmine kontsentreeritud viinamarjavirdest 
− veini segamine, selitamine ja villimine
− vähese alkoholisisaldusega või alkoholivaba veini tootmine",,"ainult villimine ja etikettimine (jookide hulgimüük), vt 46341
villimine või etikettimine tasu eest või lepingu alusel, vt 82921",,JAH
1103,110,Siidri ja muu marja- ja puuviljaveini tootmine,,,,,JAH
11031,1103,Siidri ja muu marja- ja puuviljaveini tootmine,"− kääritatud, kuid destilleerimata alkoholjookide tootmine (nt sake, õuna- ja pirnisiider, marja- ja puuviljaveinid)
− mõdu tootmine; marja- ja puuviljaveini sisaldavate segujookide tootmine",,"ainult villimine ja etikettimine (jookide hulgimüük), vt 46341
villimine või etikettimine tasu eest või lepingu alusel, vt 82921",,JAH
1104,110,Muude destilleerimata kääritatud jookide tootmine,,,,,JAH
11041,1104,Muude destilleerimata kääritatud jookide tootmine,− vermuti jms jookide tootmine,,"ainult villimine ja etikettimine (jookide hulgimüük), vt 46341
villimine või etikettimine tasu eest või lepingu alusel, vt 82921",,JAH
1105,110,Õlletootmine,,,,,JAH
11051,1105,Õlletootmine,"− linnasejookide tootmine (nt ale e hele inglise õlu, porter, stout)
− vähese alkoholisisaldusega või alkoholivaba õlle tootmine",,,,JAH
1106,110,Linnasetootmine,,,,,JAH
11061,1106,Linnasetootmine,,,,,JAH
1107,110,Alkoholivaba joogi tootmine; mineraalvee ja muu villitud vee tootmine,,,,,JAH
11071,1107,Alkoholivaba joogi tootmine; mineraalvee ja muu villitud vee tootmine,"− mineraalvee ja muu villitud vee tootmine (gaseeritud või gaseerimata) 
− alkoholivabade jookide, v.a alkoholivaba õlle ja veini tootmine:
− maitsestatud ja/või magustatud karastusjoogid: limonaad, koola, puuvilja- või marjajoogid, toonikud jms",,"puu- ja köögiviljamahla tootmine, vt 10321
piimapõhiste jookide tootmine, vt 10519
kohvi-, tee- ja matetoodete tootmine, vt 1083
alkoholipõhiste jookide tootmine, vt 11011, 11021, 11031, 11041, 11051
alkoholivaba veini tootmine, vt 11021
alkoholivaba õlle tootmine, vt 11051
jää tootmine, vt 35301
ainult villimine ja etikettimine (jookide hulgimüük), vt 46341
villimine või etikettimine tasu eest või lepingu alusel, vt 82921",,JAH
12,C,Tubakatoodete tootmine,Osa 12 hõlmab tubaka töötlemist lõpptarbimiseks sobivasse vormi.,,,,EI
120,12,Tubakatoodete tootmine,,,,,EI
1200,120,Tubakatoodete tootmine,,,,,JAH
12001,1200,Tubakatoodete tootmine,"− tubakast ja tubakaasendajatest valmistatud tooted (nt sigaretid, sigaretitubakas, sigarid, piibu-, närimis- ja nuusktubakas)
− ""homogeenitud"" või ""taastatud"" tubaka tootmine
− tubaka leherootsude eemaldamine ja tubaka kuivatamine",,"tubaka kasvatus ja esmatöötlus, vt 01151, 01631",,JAH
13,C,Tekstiilitootmine,"Osa 13 hõlmab nii tekstiilkiudude ettevalmistust ja ketramist kui ka riide kudumist, riide ja rõivaste viimistlemist ning valmis tekstiiltoodete (nt kodutekstiil, tekid, vaibad, nöörid jne) tootmist, v.a rõivad. Looduslike kiudude kasvatus kuulub ossa 01; sünteeskiudude tootmine kui keemiline protsess tuleb liigitada klassi 2060. Rõivaste tootmine kuulub ossa 14.",,,Eesti Rõiva- ja Tekstiililiit,EI
131,13,Tekstiilkiudude ettevalmistamine ja ketramine,,,,,EI
1310,131,Tekstiilkiudude ettevalmistamine ja ketramine,,,,,JAH
13101,1310,Tekstiilkiudude ettevalmistamine ja ketramine,"Erinevast toorainest tekstiilkiudude (loomsed ja taimsed kiud, nt siid ja vill või keemilised kiud, nt paber- ja klaaskiud jms) eeltöötlus ja ketramine.
− tekstiilkiudude eeltöötlus:
− siidi lahtikerimine ja pesemine
− villa rasvatustamine ja karboniseerimine ning villakvilla värvimine
− igasuguse loomse, taimse ja keemilise kiu kraasimine ja kammimine
− lõnga ja õmblusniidi ketramine ja tootmine kudumise ning õmblemise jaoks, kaubanduse tarbeks või edasiseks töötlemiseks:
− lina ropsimine
− süntees- ja tehisfilamentkiust lõnga tekstureerimine, korrutamine, kordistamine, keerutamine ja kastmise teel värvimine
− paberlõnga tootmine",,"taime- või loomakasvatusega seotud ettevalmistavad tegevused, vt 01
taimsete kiudude (džuut, lina, kookoskiud jne) leotamine, vt 01161
puuvilla kupardamine (puhastamine), vt 01631
süntees- või tehiskiudude ja -köisikute ning süntees- või tehiskiust ühekordse lõnga (k.a ülitugev ja vaibalõng) tootmine, vt 20601
klaaskiudude tootmine, vt 23141",,JAH
132,13,Riidekudumine,,,,,EI
1320,132,Riidekudumine,,,,,JAH
13201,1320,Riidekudumine,"Siia kuulub riide kudumine erinevast toorainest (loomsed ja taimsed kiud, nt siid ja vill või keemilised kiud, nt paber- ja klaaskiud jms).
− puuvilla-, kraasvilla-, kammvilla- ja siiditüüpi riide tootmine, k.a riide tootmine segu-, tehis- või sünteeskiududest (polüpropüleenist jms) valmistatud lõngast 
− muu laia riide tootmine lina, ramjeekiudu, kanepit, džuuti, niinekiudu ja erilõngu kasutades
− karus- või šenillriide, froteerätikuriide, marli jms tootmine
− riide tootmine klaaskiust 
− riide tootmine süsinik- ja aramiidkiust niidist 
− kootud tehiskarusnaha tootmine",,"silmkoe- ja heegelkanga (trikookanga) tootmine, vt 13911
tekstiilpõrandakatete tootmine, vt 13931
kitsasriide tootmine, vt 13961
lausriide ja vildi tootmine, vt 13991",,JAH
133,13,Tekstiili viimistlemine,,,,,EI
1330,133,Tekstiili viimistlemine,,,,,EI
13301,1330,Tekstiili viimistlemine,"Siia kuulub tekstiili ja rõivaste viimistlemine, nt pleegitamine, värvimine, apreteerimine jms.
− tekstiilkiudude, lõnga, riide ja tekstiiltoodete (k.a rõivaste) pleegitamine ja värvimine
− tekstiili ja tekstiiltoodete (k.a rõivaste) apreteerimine, kuivatamine, aurutamine, kokkutõmbumisvastane viimistlemine, nõelumine, sanforiseerimine, merseriseerimine
− teksarõivaste pleegitamine
− tekstiili plisseerimine jms
− ostetud rõivaste veekindlaks tegemine, pealistamine, kummeerimine või impregneerimine
− riide ja rõivaste sõeltrükk (siidtrükk)","− etikettide trükkimine tekstiilile
− piltide trükkimine tekstiilile","kummiga impregneeritud, pealistatud, kaetud või lamineeritud riide tootmine, kui riide põhikoostisosaks on kumm, vt 22199",,EI
139,13,Muu tekstiilitootmine,"Siia gruppi kuulub valmis tekstiiltoodete, vaipade ja vaipkatete, nööride, köite, kitsasriide jms tootmine, v.a rõivaste tootmine.",,,,EI
1391,139,Silmkoe- ja heegelkanga (trikookanga) tootmine,,,,,EI
13911,1391,Silmkoe- ja heegelkanga (trikookanga) tootmine,"− silmkoe- ja heegelkanga (trikookanga) tootmine ja töötlemine:
− karus- ja froteekangad
− raschel- või samalaadsetel masinatel silmkootud võrk- ja kardinakangad
− muud silmkoe- või heegelkangad
− silmkootud tehiskarusnaha tootmine",,"raschel- või samalaadsetel masinatel kootud pitsilaadse võrk- ja kardinakanga tootmine, vt 13991
silmkoe- ja heegelkangast (trikookangast) rõivaste tootmine, vt 14391",,EI
1392,139,"Valmis tekstiiltoodete tootmine, v.a rõivad",,,,,JAH
13921,1392,"Kodutekstiili tootmine, sh voodipesu, köögirätikud, kardinad, akna sisekatted jm eesriided","− mis tahes tekstiilmaterjalist valmis kodutekstiilide tootmine, k.a silmkoe- või heegelkangast (trikookangast):
− tekid, k.a pleedid (reisitekid)
− voodi- ja lauapesu, käte- ja köögirätikud, vanni- ja saunalinad
− vatitekid, udusulgtekid, sohvapadjad, pufid (istepadjad) jm padjad jne
− valmis sisustustekstiiltoodete tootmine:
− kardinad, eesriided, rulood, voodi- ja mööblikatted, kardina- või voodidrapeeringud jne",− tekstiilist istmepatjade tootmine,"eesriiete tootmine meditsiiniliseks otstarbeks, vt 32509",,EI
13929,1392,Muude valmis tekstiiltoodete tootmine,"− autokatete jm kattepresentide, telkide, magamiskottide jm tekstiilist matkatarvete, purjede, päikesevarjude, markiiside jne tootmine
− lippude, loosungite, vimplite jne tootmine
− nõudepesu- ja tolmulappide jms, päästevestide ja -vööde, langevarjude jne tootmine
− elektritekkide tekstiilosade tootmine
− käsitelgedel kootud seinavaipade tootmine
− kaupade pakendamiseks kottide tootmine 
− muude valmistoodete tootmine (k.a rõivalõiked)","− lapse kandelinade tootmine
− suusakeppidele käepaelte tootmine
− polüpropüleen kangast kottide/konteinerite tootmine","tekstiiltoodete tootmine tehniliseks otstarbeks, vt 13961
kattepresentide parandus, vt 33191
telkide parandus, vt 95291
kemikaalide pakkekottide (nt väetisekottide) parandus, vt 33191",,JAH
1393,139,Vaipade ja vaipkatete tootmine,,,,,EI
13931,1393,Vaipade ja vaipkatete tootmine,"− põrandakattematerjali tootmine tekstiilist (nt vaipkatted, vaibad, matid, plaadid jne) 
− põrandakatete tootmine nõeltöödeldud vildist","− telgedel kootud vaipade jms põrandakatete tootmine
− sõlmtehnikas vaipade jms põrandakatete tootmine","mattide ja põrandakatete tootmine punumismaterjalist, vt 16292
põrandakatete tootmine korgist, vt 16292
elastsete põrandakatete tootmine (nt vinüül ja linoleum), vt 22239",,EI
1394,139,"Nööri, köie ja võrgulina tootmine",,,,,JAH
13941,1394,"Nööri, köie ja võrgulina tootmine","− nööri, purjenööri ja köie tootmine tekstiilkiududest või -ribadest, k.a kummi või plastiga impregneeritud, pealistatud, kaetud või ümbritsetud
− sõlmitud võrgulina tootmine nöörist ja köiest
− köiest ja võrgulinast toodete tootmine (nt kalavõrgud, vendrid, kropid, tropid, metallrõngastega köied ja trossid jms)",,"juuksevõrgu tootmine, vt 14191
metalltrossi tootmine, vt 25931
kahvade tootmine sportlikuks kalapüügiks, vt 32301
võrkude parandus, vt 33191",,JAH
1395,139,"Lausriide ja lausriidest toodete tootmine, v.a rõivad",,,,,EI
13951,1395,"Lausriide ja lausriidest toodete tootmine, v.a rõivad","− lausriide, k.a impregneeritud, pealistatud, kaetud või lamineeritud tootmine",− liimitud kangast toodete tootmine,,,EI
1396,139,Tehnilise ja tööstusliku otstarbega tekstiilide tootmine,,,,,EI
13961,1396,Tehnilise ja tööstusliku otstarbega tekstiilide tootmine,"− mitmesuguse kitsasriide ja paela kudumine, k.a liimühendatud, ühesuunalistest koelõngata lõimelõngadest või kiududest koosneva paela tootmine
− etikettide, embleemide jms tootmine 
− posamentide tootmine (nt punutud paelad, tutid jms)
− plastiga impregneeritud, pealistatud, kaetud või lamineeritud riide tootmine
− mähitud või mähkimata metalliseeritud lõnga; tekstiiliga kaetud kumminiidi ja -paela; kummi või plastiga kaetud, impregneeritud, pealistatud või ümbritsetud tekstiillõnga või -ribade tootmine 
− ülitugevast keemilisest kiust rehvikoortriide tootmine
− muu töödeldud või kaetud riide tootmine (vahe- jms kõvendatud riie; kummi-, liimi- või tärklisainetega pealistatud riie) 
− tekstiiltahtide, hõõgsuka, voolikute, ülekande- või konveierilintide rihmariide (metalli vm materjaliga tugevdatud või mitte), sõelariide, filterriide tootmine
− autokaunistuste tootmine
− maalimislõuendi ja pausriide tootmine",,"kummiga impregneeritud, pealistatud, kaetud või lamineeritud tekstiilist rihmariide tootmine ülekande- või konveierilintide jaoks, kui riide põhikoostisosaks on kumm, vt 22199
tekstiiliga armeeritud vahtkummist ja -plastist tahvlite ning lehtede tootmine, vt 22191, 22211
riide kudumine metalltraadist, vt 25931",,EI
1399,139,Mujal liigitamata tekstiilitootmine,,,,,EI
13991,1399,"Mujal liigitamata tekstiilitootmine, sh kaunistusnööri-, tülli-, pitsi-, paela- ja tikanditootmine","− vildi, k.a impregneeritud, pealistatud, kaetud või lamineeritud vildi tootmine
− tülli jm võrkriide, pitsmaterjali ja tikandite tootmine meetrikaubana, ribade või motiividena
− vajutustundliku riide tootmine
− tekstiilist kingapaelte tootmine
− puudritupsude ja tampoonide tootmine 
− bukleelõnga ja šenill-lõnga tootmine",− masintikand teenusena,"põrandakatete tootmine nõeltöödeldud vildist, vt 13931
tekstiilvati ja vatist toodete tootmine (nt hügieenisidemed, tampoonid jne), vt 17221",,EI
14,C,Rõivatootmine,"Osa 14 hõlmab kõikide rõivaesemete ja rõivalisandite õmblemist igat liiki materjalist, k.a rätsepatöö: meeste, naiste ja laste pealis- ja alusrõivaste, töö-, tänava- ja vabaajarõivaste õmblemine nahast, riidest, trikookangast jne. Siin ei eristata täiskasvanute ja lasterõivaid ega moe- ja klassikalisi rõivaid. 
Ossa 14 liigitatakse ka karusnahatööstus (karusnahad ja nendest tehtud rõivad).",,,Eesti Rõiva- ja Tekstiililiit,EI
141,14,"Rõivatootmine, v.a karusnahast rõivad","Rõivaste tootmine igat liiki materjalist, k.a pealistatud, impregneeritud või kummeeritud materjalist.",,,,EI
1411,141,Nahkrõivaste tootmine,,,,,EI
14111,1411,Nahkrõivaste tootmine,"− nahast või komposiitnahast rõivaste tootmine, k.a tööstuses kasutatavad nahast manused, nt keevitaja nahkpõll",,"karusnahast rõivaste tootmine, vt 14201
nahast spordikinnaste ja -peakatete tootmine, vt 32301
kaitse- ja tulekindlate rõivaste tootmine, vt 32991",,EI
1412,141,Töörõivaste tootmine,,,,,EI
14121,1412,Töörõivaste tootmine,,,,,EI
1413,141,Muude pealisrõivaste tootmine,,,,,EI
14131,1413,"Muude pealisrõivaste tootmine, k.a rätsepatöö","− meeste, naiste ja laste pealisrõivaste tootmine riidest, silmkoe- või heegelkangast (trikookangast), lausriidest jne: 
− meeste, naiste, tütarlaste ja poiste mantlid
− meeste ja poiste ülikonnad, pintsakud, bleiserid, püksid, tunked
− naiste ja tütarlaste kostüümid, jakid, rõivakomplektid (tellimusel tehtav rätsepatöö)
− naiste ja tütarlaste seelikud, kleidid, püksid, tunked
− anorakid, tuulepluusid, keebid jms
− eelpool loetletud toodete osade tootmine
− tellimusel tehtav rätsepatöö","− kasutatud rõivaste ümberõmblemine
− individuaalõmblus","karusnahast rõivaste tootmine (v.a peakatted), vt 14201
kokku liimitud (mitte kokku õmmeldud) kummi- ja plastrõivaste tootmine, vt 2219, 2224
tulekindlate ja kaitserõivaste tootmine, vt 32991
rõivaste parandamine, vt 95291",,EI
1414,141,Alusrõivaste tootmine,,,,,EI
14141,1414,"Alusrõivaste tootmine, sh T-särkide, päevasärkide, hommikumantlite, öösärkide jms tootmine","− meeste, naiste ja laste alusrõivaste tootmine riidest, silmkoe- või heegelkangast (trikookangast), pitsist jne: 
− päevasärgid, T-särgid, pluusid
− aluspüksid, püksikud, pidžaamad, öösärgid, hommikumantlid, kombineed, alusseelikud 
− rinna- ja sukahoidjad, korsetid jne",,"rõivaste parandamine, vt 95291",,EI
1419,141,Muude rõivaste ja rõivalisandite tootmine,,,,"Eesti Karusnahaliit
Eesti Karusnahaliit",EI
14191,1419,"Peakatete valmistamine, k.a karusnahast","− vildist või muust materjalist kübaratoorikute ja kübaravildi tootmine
− kübarate ja mütside tootmine
− juuksevõrgu tootmine
− karusnahast peakatete tootmine
− kübaravoodrite, -katete, -põhjade, -karkasside ja higipaelte, mütsinokkade ning peakatete lõuarihmade tootmine",,"spordipeakatete tootmine, vt 32301
kaitsepeakatete tootmine (v.a spordipeakatted), vt 32991",,EI
14199,1419,Muude mujal liigitamata rõivaste ja rõivalisandite tootmine,"− väikelaste rõivaste (pikkusele kuni 86 cm) ja rõivamanuste (k.a mähkmed) tootmine
− spordidresside, suusaülikondade, supelrõivaste jne tootmine
− rõivalisandite tootmine (nt silmkoelised või heegeldatud sõrm- ja labakindad, sõrmedeta kindad, vööd, sallid, rätikud, lipsud, kaela- ja taskurätikud jne)
− rõivamanuste tootmine
− nahast või komposiitnahast sõrm- ja labakinnaste, sõrmedeta kinnaste tootmine
− nahast või komposiitnahast vööde, rihmade, õlarihmade jm rõivamanuste tootmine
− tallutamata tekstiiljalatsite tootmine
− loetletud toodete osade tootmine",− lemmikloomarõivaste tootmine,"tulekindlate ja kaitserõivaste tootmine, vt 32991
rõivaste parandamine, vt 95291",,EI
142,14,Karusnahatoodete tootmine,,,,Eesti Karusnahaliit,EI
1420,142,Karusnahatoodete tootmine,,,,,EI
14201,1420,Karusnahatoodete tootmine (v.a mütsid ja kindad),"− karusnahast rõivaste ja rõivalisandite tootmine
− karusnahatükkidest kokku pandud nahkade, tahvlite, mattide, ribade jne tootmine
− mitmesuguste karusnahast toodete tootmine (nt täistopitud pufid e istepadjad); tööstuslik poleerriide tootmine","− köösneritööd
− karusnahast vaipade tootmine
− tehiskarusnahast toodete tootmine","toorkarusnahkade tootmine, vt 014, 0170
toornahkade tootmine, vt 10111
tehiskarusnaha tootmine (pikakarvaline riie või silmkoekangas), vt 1320, 1391
karusnahast mütside tootmine, vt 14191
karusnahaga kaunistatud rõivaste tootmine, vt 14191
karusnaha parkimine ja värvimine, vt 15111
karusnahast detailidega saabaste ja kingade tootmine, vt 15201",,EI
143,14,Silmkoe- ja heegelrõivaste tootmine,,,,,EI
1431,143,Suka- ja sokitootmine,,,,,EI
14311,1431,Suka- ja sokitootmine,"− sukktoodete tootmine (nt sukkpüksid, retuusid, sukad, põlvikud jm sukktooted)
− sokkide tootmine",,,,EI
1439,143,Muude silmkoe- ja heegelrõivaste tootmine,,,,,EI
14391,1439,"Muude silmkoe- ja heegelrõivaste tootmine, nt pulloverid, kampsunid jms tooted","− silmkoeliste ja heegeldatud pulloveride, kardiganide, kampsunite, vestide, sviitrite jms tootmine",,"silmkoe- ja heegelkanga tootmine, vt 13911
sukktoodete tootmine, vt 14311",,EI
15,C,Nahatöötlemine ja nahktoodete tootmine,"Osa 15 hõlmab karusnaha töötlemist ja värvimist, toornaha parkimist ja konserveerimist ning nahast lõpptoodete valmistamist. Siia kuulub sarnaste toodete valmistamine ka muust materjalist (tehisnahast või nahaasendajatest, nt kummist jalatsid, tekstiilist kohvrid jms) sama tootmistehnoloogiat kasutades ning sageli ka samas üksuses.",,,Eesti Rõiva- ja Tekstiililiit,EI
151,15,"Nahatöötlemine ja -parkimine; kohvrite, käekottide, sadulsepatoodete ja rakmete tootmine; karusnaha töötlemine ja värvimine",Siia gruppi kuulub naha ja karusnaha tootmine ning nendest materjalidest toodete valmistamine,,,,EI
1511,151,Nahatöötlemine ja -parkimine; karusnaha töötlemine ja värvimine,,,,Eesti Karusnahaliit,EI
15111,1511,Nahatöötlemine ja -parkimine; karusnaha töötlemine ja värvimine,"− toornaha parkimine, värvimine ja töötlemine
− seemisnaha, pärgamenditud naha, lakknaha ning metallitatud naha tootmine
− komposiitnaha (naturaalse naha või nahakiudude baasil) tootmine
− karus- ja toornaha kaapimine, sugemine, parkimine, pleegitamine, pügamine, kitkumine ning värvimine",,"toornaha tootmine karjakasvatuse osana, vt 014
toornaha tootmine tapamajades, vt 10111
nahkrõivaste tootmine, vt 14111
tehisnaha tootmine mittenaturaalnaha baasil, vt 22199, 22291",,EI
1512,151,"Kohvrite, käekottide, sadulsepatoodete, rakmete jms tootmine",,,,,EI
15121,1512,"Kohvrite, käekottide jms kaupade tootmine","− kohvrite, käekottide, kosmeetikakohvrikeste, diplomaadikohvrite, ranitsate, seljakottide, tööriistakottide, muusikatarvete vutlarite jms kaupade tootmine nahast, komposiitnahast või muust materjalist (nt lehtplastist, tekstiilist, vulkaniseeritud kiust või papist) sama tootmistehnoloogiat kasutades",,,Eesti Karusnahaliit,EI
15122,1512,"Sadulsepatoodete tootmine (sadulad, hobuserakmed jm)","− mis tahes materjalist sadulsepatoodete ja rakmete tootmine (nt trengid, ohjad, põlvekaitsmed, suukorvid, sadulakatted ja -kotid, koeramantlid jms)",,,,EI
15129,1512,Muude nahktoodete tootmine,"− mittemetallist (nt riidest, nahast, plastist) kellarihmade tootmine 
− mitmesuguste nahast või komposiitnahast (naturaalse naha või nahakiudude baasil) toodete tootmine: veorihmad, pakendid jms
− nahast kingapaelte tootmine
− piitsade ja ratsapiitsade tootmine","− nahast raamatukaante tootmine
− nahast ja kunstnahast pildiraamide tootmine","nahkrõivaste tootmine, vt 14111
nahast sõrmkinnaste ja mütside tootmine, vt 14199
jalatsite tootmine, vt 15201
jalgrattasadulate tootmine, vt 30921
väärismetallidest kellavõrude tootmine, vt 32121
mitteväärismetallist kellavõrude tootmine, vt 32131
liinitööliste ohutusrihmade ja muude kutsetöös kasutatavate rihmade tootmine, vt 32991",,EI
152,15,Jalatsitootmine,,,,,EI
1520,152,Jalatsitootmine,,,,,EI
15201,1520,Jalatsitootmine,"− jalatsite tootmine igaks otstarbeks, mis tahes materjalist ning töötlusviisi kasutades, k.a valamine: 
− kummist või plastist välistalla ja pealsega veekindlad jalatsid
− kummist või plastist välistalla ja pealsega jalatsid
− nahk- ja tekstiilpealsega jalatsid
− jalatsite nahkosade tootmine (nt pealsed ja pealseosad, sise- ja välistallad, kontsad jne) 
− kedride, sääriste jms tootmine","− puitjalatsite tootmine
− spordijalatsite tootmine","tallutamata tekstiiljalatsite tootmine, vt 14191
kingaosade tootmine puidust (nt kontsad ja liistud), vt 16291
saabaste, kontsade, taldade ja muude jalatsiosade tootmine kummist, vt 22199
jalatsiosade tootmine plastist, vt 22291
suusasaabaste tootmine, vt 32301
ortopeediliste jalatsite tootmine, vt 32501",,EI
16,C,"Puidutöötlemine ning puit- ja korktoodete tootmine, v.a mööbel; õlest ja punumismaterjalist toodete tootmine","Osa 15 hõlmab puittoodete, nt saematerjali, vineeri, spooni, puitkonteinerite, puidust põrandamaterjali, puitsõrestiku ja kokkupandavate puitehitiste tootmist. 
Tootmisprotsessi kuulub palkide lõikamine propsideks või saematerjaliks, puidu tükeldamine ja saagimine, vormilõikamine, plaatideks lõhestamine jm töötlemine treipingil või muude töövahenditega, puidu hööveldamine või lihvimine ning valmistooteks kokkupanemine. 
Välja arvatud saeveskid, liigitatakse tootmisüksus alamklassi peamise/eriomase toote alusel.",,"mööblitootmine, vt 310
puitelementide jms paigaldamine, vt 43321, 43329, 43331, 43391",Eesti Metsa- ja Puidutööstuse Liit,EI
161,16,Puidu saagimine ja hööveldamine,,,,Eesti Ehitusmaterjalide Tootjate Liit,EI
1610,161,Puidu saagimine ja hööveldamine,,,,,JAH
16101,1610,Saematerjali tootmine,"− puidu saagimine, hööveldamine ja masintöötlus
− palkide tükeldamine, koorimine või lõhkumine
− puidust raudteeliiprite tootmine
− kokku ühendamata põrandamaterjali tootmine",− pidevprofiiliga puitmaterjali tootmine,"metsavarumine ja viimistlemata puitmaterjali tootmine, vt 0220
õhukeste spooniplaatide tootmine vineerimiseks, plaatide või paneelide valmistamiseks, vt 16211",,EI
16102,1610,"Puidu kuivatus, immutamine ja keemiline töötlus","− puidu kuivatamine
− puidu immutamine või keemiline töötlemine säilitusainete või muude vahenditega",,,,JAH
16109,1610,"Muude puidutöötlemissaaduste tootmine, sh hakkepuit, puitvill jms","− puitvilla, puidujahu, puitlaastude ja -pilbaste ning hakkepuidu tootmine","− lõhestatud teivaste tootmine
− pikuti saagimata vaiade, tulpade ja teritatud otsaga aiateivaste tootmine","sindlite ja katuselaastude, ehisliistude jms tootmine, vt 16239
põletuspakkude või presspuidu tootmine, vt 16291",,EI
162,16,"Puidust, korgist, õlest ja punumismaterjalist toodete tootmine",,,,Eesti Ehitusmaterjalide Tootjate Liit,EI
1621,162,Spooni ja puitplaatide tootmine,,,,,EI
